Name,Description,Latitude,Longitude,Category
"⚡ IZIVIA — Rue Salvador Allende, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: IZIVIA. Connettori: type2:yes, type2_combo:yes, type2_combo:output:150 kW. Stalli: 3. A pagamento: yes. Orari: 24/7. Zona: Rue Salvador Allende, Saint-Malo. ~4.8 km dal centro Dinard. Fonte: OpenStreetMap",48.6345536,-1.9901052,⚡ Ricarica EV
"⚡ IZIVIA — Avenue de Launay-Breton, La Madeleine - Bellevue, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: IZIVIA. Connettori: chademo:yes, type2:yes, type2_combo:yes, type2_combo:output:150 kW;63 kW. Stalli: 2;3. A pagamento: yes. Orari: 24/7. Zona: Avenue de Launay-Breton, La Madeleine - Bellevue, Saint-Malo. ~4.8 km dal centro Dinard. Fonte: OpenStreetMap",48.6258930,-1.9906068,⚡ Ricarica EV
"⚡ IZIVIA — Rue Claude Chapel, La Madeleine - Bellevue, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: IZIVIA. Connettori: type2:yes, type2_combo:yes, type2_combo:output:200 kW. Stalli: 3. A pagamento: yes. Orari: 24/7. Zona: Rue Claude Chapel, La Madeleine - Bellevue, Saint-Malo. ~5.2 km dal centro Dinard. Fonte: OpenStreetMap",48.6223258,-1.9861476,⚡ Ricarica EV
"⚡ Freshmile SAS — Boulevard Gambetta, Courtoisville - Sillon - Moka, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: Freshmile SAS. Connettori: type2:yes, typee:yes. A pagamento: no. Orari: 24/7. Zona: Boulevard Gambetta, Courtoisville - Sillon - Moka, Saint-Malo. ~5.2 km dal centro Dinard. Fonte: OpenStreetMap",48.6540551,-1.9928889,⚡ Ricarica EV
"⚡ DRIVECO — Boulevard de la Houle, Saint-Briac-sur-Mer","[⚡ Ricarica EV] Rete/operatore: DRIVECO. Stalli: 8. A pagamento: yes. Accesso: yes. Zona: Boulevard de la Houle, Saint-Briac-sur-Mer. ~6.0 km dal centro Dinard. Fonte: OpenStreetMap",48.6315578,-2.1362745,⚡ Ricarica EV
"⚡ Sodetrel — Rue Ransbach-Baumbach, Pleurtuit","[⚡ Ricarica EV] Rete/operatore: Sodetrel. Connettori: type2:2, typee:2. Stalli: 2. A pagamento: yes. Orari: 24/7. Zona: Rue Ransbach-Baumbach, Pleurtuit. ~6.0 km dal centro Dinard. Fonte: OpenStreetMap",48.5780857,-2.0608168,⚡ Ricarica EV
"⚡ EV — Place de la Mer, Paramé, Saint-Malo","[⚡ Ricarica EV] Zona: Place de la Mer, Paramé, Saint-Malo. ~6.0 km dal centro Dinard. Fonte: OpenStreetMap",48.6637415,-1.9884994,⚡ Ricarica EV
"⚡ SDE35 — Rue du Prieuré Saint-Domin, Paramé, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. Orari: 24/7. Zona: Rue du Prieuré Saint-Domin, Paramé, Saint-Malo. ~6.1 km dal centro Dinard. Fonte: OpenStreetMap",48.6580890,-1.9818998,⚡ Ricarica EV
"⚡ EV — Rue du Moulin du Domaine, Saint-Jouan-des-Guérets","[⚡ Ricarica EV] Stalli: 4. Zona: Rue du Moulin du Domaine, Saint-Jouan-des-Guérets. ~6.5 km dal centro Dinard. Fonte: OpenStreetMap",48.6042298,-1.9768816,⚡ Ricarica EV
"⚡ E-TOTEM — Avenue des Fontenelles, Le Lévy - Saint-Ideuc, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: E-TOTEM. Connettori: type2:yes, typee:yes. A pagamento: no. Orari: 24/7. Zona: Avenue des Fontenelles, Le Lévy - Saint-Ideuc, Saint-Malo. ~6.8 km dal centro Dinard. Fonte: OpenStreetMap",48.6682107,-1.9797605,⚡ Ricarica EV
"⚡ SDE35 — Rue du Général de Gaulle, Le Minihic-sur-Rance","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. Accesso: unknown. Zona: Rue du Général de Gaulle, Le Minihic-sur-Rance. ~7.0 km dal centro Dinard. Fonte: OpenStreetMap",48.5753713,-2.0137873,⚡ Ricarica EV
"⚡ SDE22 — Rue de la Mairie, Les Hauts de Buglais, Lancieux","[⚡ Ricarica EV] Rete/operatore: SDE22. Connettori: type2:2, typee:2. Stalli: 2. A pagamento: yes. Orari: 24/7. Zona: Rue de la Mairie, Les Hauts de Buglais, Lancieux. ~7.7 km dal centro Dinard. Fonte: OpenStreetMap",48.6041302,-2.1510371,⚡ Ricarica EV
⚡ OuestCharge — Impasse du Souvenir,"[⚡ Ricarica EV] Stalli: 2. A pagamento: yes. Zona: Impasse du Souvenir, Rothéneuf, Saint-Malo. ~8.5 km dal centro Dinard. Fonte: OpenStreetMap",48.6816264,-1.9673920,⚡ Ricarica EV
"⚡ SDE22 — Rue des Ormelets, Beaussais-sur-Mer","[⚡ Ricarica EV] Rete/operatore: SDE22. Connettori: type2:2, typee:2. Stalli: 2. A pagamento: yes. Orari: 24/7. Zona: Rue des Ormelets, Beaussais-sur-Mer. ~8.7 km dal centro Dinard. Fonte: OpenStreetMap",48.5802618,-2.1447682,⚡ Ricarica EV
"⚡ Power Dot France — Rue d'Émeraude, Saint-Méloir-des-Ondes","[⚡ Ricarica EV] Rete/operatore: Power Dot France. Connettori: type2_combo:yes, type2_combo:output:200.0 kW. Stalli: 5. A pagamento: yes. Orari: 24/7. Zona: Rue d'Émeraude, Saint-Méloir-des-Ondes. ~10.6 km dal centro Dinard. Fonte: OpenStreetMap",48.6389187,-1.9112221,⚡ Ricarica EV
"⚡ SDE35 — Place Arthur Regnault, Saint-Georges","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. Orari: 24/7. Zona: Place Arthur Regnault, Saint-Georges. ~10.8 km dal centro Dinard. Fonte: OpenStreetMap",48.5881406,-1.9242864,⚡ Ricarica EV
"⚡ Brev'Car — Rue du Général de Gaulle, Pleslin-Trigavou","[⚡ Ricarica EV] Rete/operatore: Brev'Car. Zona: Rue du Général de Gaulle, Pleslin-Trigavou. ~11.1 km dal centro Dinard. Fonte: OpenStreetMap",48.5317893,-2.0562498,⚡ Ricarica EV
"⚡ SDE35 — Place du Marché, Saint-Coulomb","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. Orari: 24/7. Zona: Place du Marché, Saint-Coulomb. ~11.4 km dal centro Dinard. Fonte: OpenStreetMap",48.6752126,-1.9137811,⚡ Ricarica EV
⚡ Ionity Plouer sur Rance — Rue des Charpentiers de Marine,"[⚡ Ricarica EV] Rete/operatore: Ionity. Connettori: type2_combo:6, type2_combo:output:350 kW. Stalli: 6. A pagamento: yes. Accesso: yes. Orari: 24/7. Zona: Rue des Charpentiers de Marine, Plouër-sur-Rance. ~11.7 km dal centro Dinard. Fonte: OpenStreetMap",48.5308276,-2.0127440,⚡ Ricarica EV
